behavior	property	type	required	default	allowed	adapterBinding	visibleWhen	requiredWhen	minimum	maximum	maximumUtf8Bytes	maximumItems	maximumItemUtf8Bytes	descriptorOutcomes
agent	provider	STRING	true			true					0	0	0	continue
agent	instructions	TEXT	true			false					0	0	0	continue
agent	objective	TEXT	true			false					0	0	0	continue
agent	model	STRING	false			false					0	0	0	continue
agent	mcpServers	STRING	false			false					0	0	0	continue
agent	maxTurns	INTEGER	false			false					0	0	0	continue
agent	maxTotalTokens	INTEGER	false			false					0	0	0	continue
agent	timeoutMs	INTEGER	false			false					0	0	0	continue
agent	maxTokens	INTEGER	false			false					0	0	0	continue
agent	temperature	STRING	false			false					0	0	0	continue
agent	topP	STRING	false			false					0	0	0	continue
agent	seed	INTEGER	false			false					0	0	0	continue
agent	skills.1.name	STRING	false			false					0	0	0	continue
agent	skills.1.description	STRING	false			false					0	0	0	continue
agent	skills.1.instructions	TEXT	false			false					0	0	0	continue
agent	skills.2.name	STRING	false			false	skills.1.name:PRESENT:				0	0	0	continue
agent	skills.2.description	STRING	false			false	skills.1.name:PRESENT:				0	0	0	continue
agent	skills.2.instructions	TEXT	false			false	skills.1.name:PRESENT:				0	0	0	continue
agent	skills.3.name	STRING	false			false	skills.2.name:PRESENT:				0	0	0	continue
agent	skills.3.description	STRING	false			false	skills.2.name:PRESENT:				0	0	0	continue
agent	skills.3.instructions	TEXT	false			false	skills.2.name:PRESENT:				0	0	0	continue
agent	skills.4.name	STRING	false			false	skills.3.name:PRESENT:				0	0	0	continue
agent	skills.4.description	STRING	false			false	skills.3.name:PRESENT:				0	0	0	continue
agent	skills.4.instructions	TEXT	false			false	skills.3.name:PRESENT:				0	0	0	continue
agent	skills.5.name	STRING	false			false	skills.4.name:PRESENT:				0	0	0	continue
agent	skills.5.description	STRING	false			false	skills.4.name:PRESENT:				0	0	0	continue
agent	skills.5.instructions	TEXT	false			false	skills.4.name:PRESENT:				0	0	0	continue
agent	skills.6.name	STRING	false			false	skills.5.name:PRESENT:				0	0	0	continue
agent	skills.6.description	STRING	false			false	skills.5.name:PRESENT:				0	0	0	continue
agent	skills.6.instructions	TEXT	false			false	skills.5.name:PRESENT:				0	0	0	continue
agent	skills.7.name	STRING	false			false	skills.6.name:PRESENT:				0	0	0	continue
agent	skills.7.description	STRING	false			false	skills.6.name:PRESENT:				0	0	0	continue
agent	skills.7.instructions	TEXT	false			false	skills.6.name:PRESENT:				0	0	0	continue
agent	skills.8.name	STRING	false			false	skills.7.name:PRESENT:				0	0	0	continue
agent	skills.8.description	STRING	false			false	skills.7.name:PRESENT:				0	0	0	continue
agent	skills.8.instructions	TEXT	false			false	skills.7.name:PRESENT:				0	0	0	continue
amqp.consume	brokerProfile	STRING	true			false					0	0	0	—
amqp.consume	queue	STRING	false			false					0	0	0	—
amqp.consume	prefetch	INTEGER	false			false					0	0	0	—
amqp.consume	maxInFlight	INTEGER	false			false					0	0	0	—
amqp.consume	retryBackoffMs	INTEGER	false			false					0	0	0	—
amqp.consume	maxRetryBackoffMs	INTEGER	false			false					0	0	0	—
amqp.consume	drainTimeoutMs	INTEGER	false			false					0	0	0	—
amqp.consume	poisonAttempts	INTEGER	false			false					0	0	0	—
amqp.consume	poisonPolicy	STRING	false	profile	profile,dead-letter	false					0	0	0	—
amqp.consume	deadLetterMode	STRING	false		broker-dlx	false	poisonPolicy:EQUALS:dead-letter	poisonPolicy:EQUALS:dead-letter			0	0	0	—
amqp.consume	checkpointPolicy	STRING	false	require-durable	require-durable	false					0	0	0	—
amqp.publish	brokerProfile	STRING	true			false					0	0	0	—
amqp.publish	exchange	STRING	false			false					0	0	0	—
amqp.publish	routingKey	STRING	false			false					0	0	0	—
amqp.publish	mandatory	BOOLEAN	false	true		false					0	0	0	—
amqp.publish	contentType	STRING	false			false					0	0	0	—
amqp.publish	contentEncoding	STRING	false			false					0	0	0	—
amqp.publish	persistent	BOOLEAN	false	false		false					0	0	0	—
amqp.publish	priority	INTEGER	false			false					0	0	0	—
amqp.publish	expirationMs	INTEGER	false			false					0	0	0	—
amqp.publish	messageId	STRING	false			false					0	0	0	—
amqp.publish	correlationId	STRING	false			false					0	0	0	—
amqp.publish	replyTo	STRING	false			false					0	0	0	—
amqp.publish	type	STRING	false			false					0	0	0	—
amqp.publish	appId	STRING	false			false					0	0	0	—
amqp.publish	headers	TEXT	false			false					0	0	0	—
amqp.publish	confirmTimeoutMs	INTEGER	false			false					0	0	0	—
amqp.publish	maxConcurrency	INTEGER	false			false					0	0	0	—
amqp.publish	retries	INTEGER	false			false					0	0	0	—
amqp.publish	recovery.repeatable	STRING	false		repeatable,not-repeatable	false					0	0	0	—
boundary-guard	policyId	STRING	true			false					0	0	0	continue,violation
boundary-guard	policyVersion	STRING	true			false					0	0	0	continue,violation
boundary-guard	policyDigest	STRING	true			false					0	0	0	continue,violation
cel-decision	expression	CEL_EXPRESSION	true			false					0	0	0	$trueOutcome,$falseOutcome
cel-decision	trueOutcome	STRING	false	true		false					0	0	0	$trueOutcome,$falseOutcome
cel-decision	falseOutcome	STRING	false	false		false					0	0	0	$trueOutcome,$falseOutcome
cel-transform	expression	CEL_EXPRESSION	true			false					0	0	0	continue
delay	durationMs	INTEGER	false	1000		false					0	0	0	continue
discord.interactions	discordProfile	STRING	true			false					0	0	0	—
discord.send	discordProfile	STRING	true			false					0	0	0	—
discord.send	channelId	STRING	false			false					0	0	0	—
discord.send	requestTimeoutMs	INTEGER	false			false					0	0	0	—
discord.send	maxContentChars	INTEGER	false			false					0	0	0	—
discord.send	maxAttachmentBytes	INTEGER	false			false					0	0	0	—
discord.send	maxAttachments	INTEGER	false			false					0	0	0	—
discord.send	maxConcurrency	INTEGER	false			false					0	0	0	—
discord.send	retries	INTEGER	false			false					0	0	0	—
filesystem.read	filesystemProfile	STRING	true			false					0	0	0	—
filesystem.read	path	STRING	true			false					0	0	0	—
filesystem.read	encoding	STRING	false	utf-8	utf-8,base64	false					0	0	0	—
filesystem.read	maxBytes	INTEGER	false			false					0	0	0	—
filesystem.read	deadlineMs	INTEGER	false			false					0	0	0	—
filesystem.write	filesystemProfile	STRING	true			false					0	0	0	—
filesystem.write	path	STRING	true			false					0	0	0	—
filesystem.write	encoding	STRING	false	utf-8	utf-8,base64	false					0	0	0	—
filesystem.write	mode	STRING	false	create-new	create-new,replace	false					0	0	0	—
filesystem.write	maxBytes	INTEGER	false			false					0	0	0	—
filesystem.write	deadlineMs	INTEGER	false			false					0	0	0	—
filesystem.write	recovery.repeatable	STRING	false		repeatable,not-repeatable	false					0	0	0	—
git-workspace	workspaceProfile	STRING	true			false					0	0	0	continue,conflict,unmerged
github-app-review	githubProfile	STRING	true			false					0	0	0	—
github-app-review	recovery.repeatable	STRING	false		repeatable,not-repeatable	false					0	0	0	—
github-events-source	githubProfile	STRING	true			false					0	0	0	—
github-workflow-watch	githubProfile	STRING	true			false					0	0	0	—
github-workflow-watch	recovery.repeatable	STRING	false		repeatable,not-repeatable	false					0	0	0	—
http-request	url	URI	true			false					0	0	0	$successOutcome,$failureOutcome
http-request	method	STRING	false	GET	GET,POST,PUT,PATCH,DELETE	false					0	0	0	$successOutcome,$failureOutcome
http-request	body	TEXT	false			false					0	0	0	$successOutcome,$failureOutcome
http-request	timeoutMs	INTEGER	false	10000		false					0	0	0	$successOutcome,$failureOutcome
http-request	credentialRef	SECRET_REFERENCE	false			false					0	0	0	$successOutcome,$failureOutcome
http-request	credentialHeader	STRING	false	Authorization		false					0	0	0	$successOutcome,$failureOutcome
http-request	credentialScheme	STRING	false	Bearer		false					0	0	0	$successOutcome,$failureOutcome
http-request	successOutcome	STRING	false	continue		false					0	0	0	$successOutcome,$failureOutcome
http-request	failureOutcome	STRING	false	error		false					0	0	0	$successOutcome,$failureOutcome
http-request	recovery.repeatable	STRING	false		repeatable,not-repeatable	false		method:ONE_OF:POST,PUT,PATCH,DELETE			0	0	0	$successOutcome,$failureOutcome
human-task	title	STRING	true			false					256	0	0	$resolvedOutcome,$deniedOutcome,$expiredOutcome,$cancelledOutcome
human-task	description	TEXT	false			false					4096	0	0	$resolvedOutcome,$deniedOutcome,$expiredOutcome,$cancelledOutcome
